                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.201,                 1.5834,                 1.1204,                0.97665,                 0.9587,                0.97859,                 0.6387,                 1.1841,                0.91001,                 1.0823,              0.0033293,              0.0033293,              0.0033293
                      1,                 1.1755,                0.82418,                 1.0868,                0.98026,                0.95317,                 0.9812,                0.64513,                 1.1322,                0.66533,                 1.0736,              0.0065967,              0.0065967,              0.0065967
                      2,                 1.2004,                0.73362,                 1.1057,                0.97782,                0.94887,                0.97456,                0.65149,                 1.2088,                0.64538,                 1.1055,               0.009798,               0.009798,               0.009798
                      3,                 1.2085,                 0.6926,                 1.1298,                0.97201,                0.94946,                0.97095,                0.65762,                 1.1586,                0.61387,                 1.1032,               0.009703,               0.009703,               0.009703
                      4,                 1.1743,                0.64456,                 1.1157,                0.97854,                0.95473,                0.98017,                  0.654,                 1.1885,                0.58876,                 1.1039,               0.009703,               0.009703,               0.009703
                      5,                 1.1614,                0.61525,                 1.1135,                0.98224,                0.96546,                0.98027,                0.67395,                 1.1304,                0.54994,                  1.087,               0.009604,               0.009604,               0.009604
                      6,                 1.1566,                0.59337,                 1.1084,                0.97511,                0.95715,                0.97188,                0.66379,                 1.1529,                0.56272,                 1.0991,               0.009505,               0.009505,               0.009505
                      7,                 1.1387,                0.58388,                 1.0998,                0.98374,                0.95029,                0.97916,                0.69786,                 1.1155,                0.54527,                 1.0781,               0.009406,               0.009406,               0.009406
                      8,                  1.131,                 0.5639,                 1.0866,                0.98517,                0.96623,                0.98461,                0.68915,                  1.109,                0.50901,                 1.0795,               0.009307,               0.009307,               0.009307
                      9,                 1.1294,                0.55973,                 1.0862,                0.98099,                0.96219,                0.98481,                0.69099,                    1.1,                0.51548,                 1.0773,               0.009208,               0.009208,               0.009208
                     10,                  1.115,                0.54965,                 1.0821,                0.97651,                0.96716,                0.98393,                0.70131,                 1.1074,                0.49197,                 1.0722,               0.009109,               0.009109,               0.009109
                     11,                 1.1146,                0.54465,                 1.0833,                0.98978,                0.96102,                0.98265,                 0.7008,                 1.0941,                0.48671,                 1.0734,                0.00901,                0.00901,                0.00901
                     12,                 1.1155,                0.53993,                 1.0804,                0.98343,                 0.9667,                0.98342,                0.69431,                 1.1072,                 0.4848,                 1.0694,               0.008911,               0.008911,               0.008911
                     13,                 1.1088,                0.53546,                 1.0785,                0.98339,                0.96413,                0.98389,                 0.7031,                 1.0836,                0.48621,                  1.059,               0.008812,               0.008812,               0.008812
                     14,                 1.1062,                0.52424,                 1.0739,                0.97938,                0.96712,                0.98568,                0.71104,                 1.0742,                0.45992,                 1.0428,               0.008713,               0.008713,               0.008713
                     15,                 1.0923,                0.51849,                  1.064,                0.98935,                0.97231,                0.98768,                 0.7007,                 1.0879,                0.46363,                 1.0644,               0.008614,               0.008614,               0.008614
                     16,                  1.095,                0.51723,                 1.0733,                0.98325,                0.96975,                0.98843,                0.69436,                  1.083,                0.46939,                 1.0591,               0.008515,               0.008515,               0.008515
                     17,                   1.09,                0.51139,                 1.0696,                0.98514,                0.96393,                0.98307,                0.70205,                 1.0737,                  0.466,                 1.0598,               0.008416,               0.008416,               0.008416
                     18,                 1.0867,                0.50641,                 1.0611,                0.98686,                 0.9715,                0.98804,                0.70901,                 1.0716,                0.45192,                 1.0493,               0.008317,               0.008317,               0.008317
                     19,                 1.0807,                0.49638,                 1.0613,                0.99106,                 0.9671,                0.99067,                0.71803,                 1.0623,                0.45228,                 1.0632,               0.008218,               0.008218,               0.008218
                     20,                 1.0858,                0.49766,                 1.0589,                0.98504,                 0.9715,                0.98998,                0.71299,                  1.057,                0.44237,                 1.0413,               0.008119,               0.008119,               0.008119
                     21,                 1.0693,                0.49254,                 1.0616,                0.98871,                0.96837,                0.98659,                0.72209,                 1.0718,                 0.4499,                 1.0534,                0.00802,                0.00802,                0.00802
                     22,                 1.0713,                0.49523,                 1.0545,                0.98989,                0.96833,                0.98467,                 0.7044,                 1.0723,                0.44204,                 1.0445,               0.007921,               0.007921,               0.007921
                     23,                 1.0653,                 0.4904,                 1.0491,                0.98653,                0.97033,                0.98512,                0.70866,                 1.0819,                 0.4518,                 1.0531,               0.007822,               0.007822,               0.007822
                     24,                 1.0645,                 0.4819,                 1.0534,                   0.99,                 0.9715,                  0.988,                0.71843,                 1.0538,                  0.434,                 1.0455,               0.007723,               0.007723,               0.007723
                     25,                 1.0651,                0.48083,                  1.056,                0.98759,                0.97244,                0.98991,                0.71329,                 1.0608,                0.42608,                 1.0338,               0.007624,               0.007624,               0.007624
                     26,                  1.063,                0.47887,                 1.0492,                0.98413,                0.97371,                0.98811,                0.71769,                 1.0554,                0.42927,                 1.0406,               0.007525,               0.007525,               0.007525
                     27,                 1.0598,                0.47658,                 1.0506,                0.98703,                0.97419,                0.99185,                0.72335,                 1.0624,                0.43064,                 1.0438,               0.007426,               0.007426,               0.007426
                     28,                 1.0535,                0.47558,                  1.048,                 0.9899,                0.96894,                 0.9905,                0.72484,                 1.0555,                0.42892,                 1.0388,               0.007327,               0.007327,               0.007327
                     29,                 1.0524,                0.46456,                 1.0467,                0.98746,                0.97091,                0.98709,                0.72768,                 1.0464,                0.41618,                  1.037,               0.007228,               0.007228,               0.007228
                     30,                 1.0526,                 0.4687,                 1.0449,                0.98386,                0.97324,                0.98639,                0.72169,                 1.0554,                 0.4175,                 1.0365,               0.007129,               0.007129,               0.007129
                     31,                 1.0506,                0.46192,                 1.0436,                0.98452,                0.97615,                0.98938,                0.72015,                  1.063,                0.41967,                 1.0371,                0.00703,                0.00703,                0.00703
                     32,                 1.0426,                0.46143,                 1.0411,                0.98183,                0.97557,                0.98824,                0.71757,                 1.0501,                0.41649,                 1.0318,               0.006931,               0.006931,               0.006931
                     33,                 1.0453,                0.46159,                 1.0397,                0.98385,                 0.9744,                0.98991,                0.73256,                 1.0404,                0.40412,                 1.0287,               0.006832,               0.006832,               0.006832
                     34,                 1.0381,                0.45734,                 1.0375,                0.98908,                0.97673,                0.98902,                0.72694,                 1.0395,                0.40969,                 1.0229,               0.006733,               0.006733,               0.006733
                     35,                 1.0464,                0.45702,                 1.0399,                0.98879,                0.97484,                0.99003,                0.73457,                 1.0374,                0.40362,                 1.0316,               0.006634,               0.006634,               0.006634
                     36,                 1.0424,                0.45283,                 1.0414,                0.99024,                 0.9715,                0.99074,                0.71598,                 1.0476,                0.40787,                 1.0338,               0.006535,               0.006535,               0.006535
                     37,                 1.0279,                0.44556,                 1.0391,                0.98646,                0.97504,                0.99014,                0.72164,                 1.0597,                0.40491,                 1.0342,               0.006436,               0.006436,               0.006436
                     38,                 1.0342,                0.44908,                 1.0411,                0.99287,                0.97254,                0.98991,                0.73723,                 1.0377,                0.40218,                 1.0264,               0.006337,               0.006337,               0.006337
                     39,                   1.04,                0.44815,                 1.0359,                0.99141,                0.97557,                0.98899,                0.73011,                 1.0477,                0.39743,                 1.0249,               0.006238,               0.006238,               0.006238
                     40,                 1.0241,                0.44409,                 1.0287,                0.99291,                0.97766,                0.99322,                 0.7348,                 1.0369,                0.38573,                 1.0237,               0.006139,               0.006139,               0.006139
                     41,                 1.0277,                0.44109,                 1.0363,                0.98419,                0.97765,                0.99151,                 0.7286,                 1.0348,                0.38825,                 1.0226,                0.00604,                0.00604,                0.00604
                     42,                 1.0301,                0.44067,                 1.0353,                0.98761,                0.97358,                0.99056,                0.73236,                 1.0373,                0.39357,                 1.0205,               0.005941,               0.005941,               0.005941
                     43,                   1.03,                0.44029,                 1.0362,                0.98877,                0.97309,                0.99065,                0.72472,                 1.0387,                0.38948,                 1.0306,               0.005842,               0.005842,               0.005842
                     44,                 1.0255,                0.43825,                 1.0359,                0.98921,                0.97324,                 0.9914,                0.72541,                 1.0455,                0.39022,                 1.0251,               0.005743,               0.005743,               0.005743
                     45,                 1.0297,                0.43718,                  1.034,                0.98998,                0.97691,                0.98929,                0.73222,                 1.0377,                0.38187,                 1.0239,               0.005644,               0.005644,               0.005644
                     46,                  1.019,                0.43748,                 1.0388,                0.98938,                0.97564,                0.99135,                0.73479,                 1.0326,                0.38401,                 1.0227,               0.005545,               0.005545,               0.005545
                     47,                 1.0295,                0.43496,                 1.0377,                0.98654,                0.98057,                0.99155,                0.73304,                 1.0376,                 0.3828,                 1.0261,               0.005446,               0.005446,               0.005446
                     48,                 1.0218,                0.43281,                 1.0292,                0.99057,                0.97757,                0.99219,                0.73335,                 1.0411,                0.37834,                 1.0252,               0.005347,               0.005347,               0.005347
                     49,                 1.0116,                0.42886,                 1.0325,                0.98805,                0.97091,                0.99159,                0.73703,                 1.0301,                 0.3766,                 1.0386,               0.005248,               0.005248,               0.005248
                     50,                 1.0205,                0.42756,                 1.0373,                0.98999,                0.97818,                0.99193,                 0.7284,                 1.0425,                0.37472,                 1.0335,               0.005149,               0.005149,               0.005149
                     51,                   1.02,                0.43358,                 1.0363,                0.98941,                0.97862,                0.99173,                 0.7356,                 1.0365,                0.37782,                 1.0258,                0.00505,                0.00505,                0.00505
                     52,                 1.0099,                0.42258,                 1.0352,                0.99148,                0.97615,                0.99208,                0.73388,                 1.0284,                 0.3729,                 1.0312,               0.004951,               0.004951,               0.004951
                     53,                 1.0005,                0.41842,                 1.0298,                0.99056,                0.97712,                0.99206,                0.73164,                 1.0342,                0.37309,                  1.021,               0.004852,               0.004852,               0.004852
                     54,                 1.0086,                0.42418,                 1.0355,                0.98891,                0.97731,                0.99259,                0.73314,                 1.0277,                0.37024,                 1.0178,               0.004753,               0.004753,               0.004753
                     55,                 1.0081,                0.42189,                 1.0269,                0.99021,                0.97848,                0.99203,                0.73956,                 1.0268,                0.36749,                 1.0162,               0.004654,               0.004654,               0.004654
                     56,                 1.0062,                0.41853,                 1.0258,                0.99054,                0.97848,                0.99005,                0.73769,                 1.0282,                0.36393,                 1.0197,               0.004555,               0.004555,               0.004555
                     57,                  1.007,                0.42039,                 1.0275,                0.99082,                0.97789,                0.99273,                0.73362,                 1.0329,                0.36755,                 1.0207,               0.004456,               0.004456,               0.004456
                     58,                 1.0072,                0.41535,                 1.0259,                 0.9892,                0.97906,                0.99335,                0.73822,                 1.0278,                 0.3609,                 1.0195,               0.004357,               0.004357,               0.004357
                     59,                0.99908,                0.41324,                 1.0266,                0.99012,                0.97615,                0.99279,                0.73985,                 1.0321,                0.36402,                 1.0304,               0.004258,               0.004258,               0.004258
                     60,                0.98824,                0.40656,                  1.024,                0.98864,                0.97906,                0.99333,                0.73337,                 1.0304,                0.36069,                 1.0261,               0.004159,               0.004159,               0.004159
                     61,                0.99311,                0.40785,                 1.0205,                0.98616,                0.98022,                0.99311,                0.73779,                 1.0266,                0.35725,                 1.0206,                0.00406,                0.00406,                0.00406
                     62,                0.99345,                0.40706,                 1.0196,                 0.9831,                0.98139,                0.99354,                0.74048,                 1.0289,                0.36294,                 1.0207,               0.003961,               0.003961,               0.003961
                     63,                0.99582,                0.40762,                 1.0246,                0.98591,                0.97721,                0.99235,                0.73877,                 1.0311,                0.36178,                 1.0244,               0.003862,               0.003862,               0.003862
                     64,                0.98984,                0.40388,                 1.0228,                0.98649,                0.97697,                0.99115,                0.73573,                 1.0305,                0.35687,                 1.0206,               0.003763,               0.003763,               0.003763
                     65,                0.99004,                0.40365,                 1.0191,                0.98826,                0.97978,                0.99297,                0.74175,                 1.0276,                 0.3557,                 1.0199,               0.003664,               0.003664,               0.003664
                     66,                0.98675,                0.40346,                 1.0226,                0.99114,                0.97614,                0.99283,                 0.7437,                  1.027,                0.35961,                 1.0222,               0.003565,               0.003565,               0.003565
                     67,                0.98528,                0.39833,                 1.0167,                0.98711,                0.98019,                0.99297,                0.73949,                 1.0326,                 0.3562,                 1.0202,               0.003466,               0.003466,               0.003466
                     68,                0.97754,                0.39942,                 1.0208,                0.98482,                0.98148,                 0.9927,                0.73928,                 1.0289,                0.35605,                 1.0219,               0.003367,               0.003367,               0.003367
                     69,                0.98094,                0.40075,                 1.0232,                0.98827,                0.98028,                0.99255,                0.73906,                  1.033,                0.35467,                 1.0282,               0.003268,               0.003268,               0.003268
                     70,                 0.9763,                0.39883,                 1.0146,                0.98655,                0.98113,                0.99151,                0.73923,                  1.031,                0.35617,                 1.0229,               0.003169,               0.003169,               0.003169
                     71,                 0.9753,                0.39324,                  1.013,                0.98979,                0.98022,                0.99267,                0.73774,                 1.0275,                0.35143,                 1.0181,                0.00307,                0.00307,                0.00307
                     72,                0.96948,                0.38867,                 1.0123,                0.99292,                0.97933,                0.99346,                0.73952,                 1.0261,                0.34902,                 1.0171,               0.002971,               0.002971,               0.002971
                     73,                0.97002,                0.39036,                 1.0123,                0.99142,                0.97906,                0.99322,                0.74047,                 1.0277,                0.34834,                 1.0149,               0.002872,               0.002872,               0.002872
                     74,                0.96542,                0.38676,                 1.0063,                0.99246,                0.97789,                0.99302,                0.74126,                 1.0286,                0.34921,                   1.02,               0.002773,               0.002773,               0.002773
                     75,                 0.9731,                0.38996,                 1.0114,                0.99058,                0.97825,                0.99317,                0.74232,                 1.0313,                0.35064,                  1.023,               0.002674,               0.002674,               0.002674
                     76,                 0.9617,                0.38353,                 1.0109,                0.98925,                 0.9808,                 0.9938,                0.73872,                 1.0337,                0.34771,                 1.0259,               0.002575,               0.002575,               0.002575
                     77,                0.95828,                0.38103,                 1.0062,                0.99232,                0.97739,                 0.9935,                0.73873,                 1.0306,                0.34593,                 1.0213,               0.002476,               0.002476,               0.002476
                     78,                0.96071,                0.38056,                 1.0086,                0.99534,                0.97731,                0.99394,                0.74001,                 1.0304,                 0.3435,                 1.0175,               0.002377,               0.002377,               0.002377
                     79,                0.95182,                0.37749,                 1.0063,                0.99377,                0.97731,                0.99327,                0.73552,                 1.0352,                0.34366,                 1.0189,               0.002278,               0.002278,               0.002278
                     80,                0.95474,                0.37701,                 1.0039,                0.99287,                0.98022,                0.99393,                0.73974,                 1.0291,                0.34411,                 1.0146,               0.002179,               0.002179,               0.002179
                     81,                0.96151,                0.37914,                 1.0052,                0.98945,                0.98166,                0.99371,                0.73887,                 1.0319,                0.34568,                 1.0143,                0.00208,                0.00208,                0.00208
                     82,                0.94743,                0.37376,                0.99932,                0.99121,                0.98434,                0.99437,                   0.74,                   1.03,                0.34251,                  1.012,               0.001981,               0.001981,               0.001981
                     83,                 0.9435,                0.36979,                 1.0033,                0.99235,                0.98146,                0.99454,                0.74274,                 1.0276,                0.34097,                 1.0134,               0.001882,               0.001882,               0.001882
                     84,                0.94289,                0.36831,                 1.0015,                0.99236,                0.98167,                0.99437,                0.74186,                 1.0287,                0.34061,                 1.0149,               0.001783,               0.001783,               0.001783
                     85,                0.93559,                0.36719,                0.99944,                0.99283,                0.98197,                0.99438,                0.73923,                 1.0338,                0.34393,                 1.0194,               0.001684,               0.001684,               0.001684
                     86,                0.93442,                0.36486,                 0.9961,                  0.994,                0.98197,                 0.9946,                0.73734,                  1.036,                0.34281,                 1.0212,               0.001585,               0.001585,               0.001585
                     87,                0.93516,                0.36432,                 1.0005,                0.99142,                 0.9808,                0.99404,                0.73788,                 1.0344,                0.34088,                  1.021,               0.001486,               0.001486,               0.001486
                     88,                0.93886,                0.36606,                0.99798,                0.99312,                 0.9808,                 0.9938,                0.74017,                 1.0339,                0.34052,                 1.0193,               0.001387,               0.001387,               0.001387
                     89,                0.93494,                0.35841,                0.99765,                0.99303,                0.98022,                0.99381,                0.73927,                 1.0358,                0.34028,                 1.0182,               0.001288,               0.001288,               0.001288
                     90,                0.93538,                0.36061,                0.99579,                0.99233,                0.98022,                 0.9937,                0.73617,                  1.039,                0.34066,                   1.02,               0.001189,               0.001189,               0.001189
                     91,                0.92973,                0.35903,                0.99746,                0.99108,                 0.9808,                0.99373,                0.73767,                 1.0372,                0.33946,                 1.0211,                0.00109,                0.00109,                0.00109
                     92,                0.92727,                0.35803,                0.99911,                0.98771,                0.98215,                 0.9936,                0.73716,                 1.0379,                0.34064,                 1.0219,               0.000991,               0.000991,               0.000991
                     93,                0.92094,                0.35449,                0.99288,                0.98829,                0.98201,                0.99378,                 0.7371,                 1.0363,                0.33909,                 1.0205,               0.000892,               0.000892,               0.000892
                     94,                0.91703,                0.35132,                0.99353,                0.99349,                0.97714,                0.99372,                0.74051,                 1.0353,                0.33859,                 1.0188,               0.000793,               0.000793,               0.000793
                     95,                0.92515,                0.35268,                0.99345,                 0.9906,                0.98043,                0.99364,                0.74082,                 1.0347,                  0.339,                 1.0174,               0.000694,               0.000694,               0.000694
                     96,                0.91346,                0.35006,                0.98997,                0.99003,                 0.9819,                0.99394,                0.74069,                 1.0352,                0.33749,                 1.0183,               0.000595,               0.000595,               0.000595
                     97,                0.90948,                0.34644,                0.98848,                 0.9912,                0.98283,                0.99388,                 0.7396,                 1.0347,                 0.3368,                 1.0187,               0.000496,               0.000496,               0.000496
                     98,                0.90884,                0.34303,                0.99149,                 0.9912,                0.98283,                0.99393,                0.74023,                 1.0375,                0.33763,                 1.0205,               0.000397,               0.000397,               0.000397
                     99,                0.90801,                 0.3425,                0.98804,                 0.9911,                0.98197,                0.99378,                0.73978,                 1.0365,                0.33632,                   1.02,               0.000298,               0.000298,               0.000298
